UserId,Age,Gender,Education,Country,Victim,Chatbot,Q0,Q1,Q2,Q3,Q4,Q5,PQ1,PQ2,PQ3,PQ4,PQ5
791535957,60,M,BD,United States,YM,YF,0,1,3,3,1,2,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Looked at the sender email the body of the emailurgent actions required by me large gifts promised for action were tip offs   the breast cancer one was suspicious since the person mispelled their own email address but I was told it was legit 
715498823,33,M,BD,United States,YF,YM,0,1,3,3,1,0,phishingWriting25p,hamWriting25p,phishingStyling25p,hamStyling25p,It was based on Suspicious sender address Check the senders address carefully and make sure its really coming from who it says its coming fromSpoofed web links Spelling grammar and layout Suspicious attachments 
350316843,57,F,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,The email address any mispellings if it was urgent
194127792,30,M,HS,United States,YF,YF,0,1,3,3,3,1,phishingWriting25p,hamWriting50p,phishingStyling25p,hamStyling50p,I looked for misspellings when I hovered over links I looked at urgency warnings and I also looked at the title of the email Hovering over links was huge in determining if the Email was legitimate or not
208946351,48,F,BD,United States,YM,YF,0,1,3,3,1,3,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,The tone of the email
161596292,32,M,MD,United States,YF,YF,1,1,0,1,1,0,phishingWriting50p,hamWriting75p,phishingStyling50p,hamStyling50p,worst
3789327,33,F,BD,United States,A,A,1,0,3,0,1,2,phishingWriting100p,hamWriting75p,phishingStyling100p,hamStyling100p,nothing 
128504864,31,M,BD,United States,YM,YF,0,1,0,3,3,3,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,Bad and suspicious links poor grammar urgency too good to be true offers building rapport with strangers
664142442,63,M,HS,United States,YF,YF,0,1,3,2,3,1,phishingWriting75p,hamWriting25p,phishingStyling50p,hamStyling75p,Mostly it was based on my own experience with the phishing emails Ive received Urgency was one clue and false monetary rewards Ive made it a practice to never sign in to anywhere from a link in an email
818469233,35,M,HS,United States,YM,YF,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,The way the emails read and looked
963256487,38,M,BD,United States,YM,A,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling25p,If there were no links in the text it could automatically be considered not risky If the link was to a domain that didnt match the email sender that was a red flag The biggest red flag was if the link actually led to a different URL than the text
238522211,35,M,BD,United States,YM,YM,0,1,3,0,1,3,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling25p,Matching the address it was sent from to the website and using signs of suspicion such as requests for money or acting too urgent as red flags
960148115,40,F,BD,United States,YF,YF,0,1,3,2,3,1,phishingWriting25p,hamWriting25p,phishingStyling25p,hamStyling25p,I compared the url in the link to the sender where I could sometimes there was a button with no link visible spelling urgency
250664650,34,M,HS,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,If the links were weird if the email was off or if it really was pushing for personal information
234716175,36,M,BD,United States,A,A,0,1,3,3,3,1,phishingWriting25p,hamWriting25p,phishingStyling25p,hamStyling25p,I would check the sender email and would see how it matched the content of the email I would then read the email and determine if it was suspicious and then hover over any links to see if they were also suspicious
577508309,40,M,BD,United States,YM,YF,0,1,3,0,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I looked at links first Then focused on grammar if the links seemed legitimate I also tried to gauge what they were asking me to do in order to determine if it was suspicious or not
15391088,39,M,BD,United States,YF,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling0p,I just looked for anything odd The criteria that was posted at the beginning is what I use mostly but I also look for things like if the URL has an edu or gov domain and things like that 
852991157,34,M,HS,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling0p,Checking the email domain to see if it seemed like it comes form a legitimate organization Checking the body of the email to see if it had urgent or alarming information Credential request Grammar Mistakes Mismatched links
679643254,35,M,BD,United States,YF,YF,0,1,3,1,2,3,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,Misspelled URLs request for sensitive information websites that didnt sound official
305818018,26,F,BD,United States,,YM,0,1,3,0,2,1,phishingWriting100p,hamWriting100p,phishingStyling75p,hamStyling75p,
394600731,26,F,HS,United States,A,YF,0,1,3,0,1,3,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I used the criteria presented to me in the beginning of the study and what the chat bot was saying
33832780,37,M,BD,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting0p,phishingStyling50p,hamStyling25p,Checking links email subject is relevant details of the email match the company or contact 
13408538,49,F,BD,United States,YM,YF,0,1,3,0,1,3,phishingWriting50p,hamWriting25p,phishingStyling75p,hamStyling25p,A bad link was usually the first indication Also if something sounded urgent especially if they said there was a problem with my account I assumed it was a scam In addition any time I supposedly won something I was suspicious
778168607,35,M,HS,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,The language whether or not it was urgent Hovering over the provided link to see if it matched the domain Misspelled words Any offer that seemed too good to be true Requests for sensitive information and just anything else remotely suspicious
699810949,33,M,BD,United States,YF,YF,1,0,1,0,0,1,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling100p,Misinformation and not giving enough information
940092720,20,F,BD,United States,YF,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting100p,phishingStyling75p,hamStyling75p,Usually looked to see if the subject was urgent and then hovered the link
305000464,33,M,PD,United States,YF,YF,1,1,0,1,1,0,phishingWriting75p,hamWriting50p,phishingStyling75p,hamStyling75p,no
412812424,35,F,BD,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,Usually if the link was legit
23062959,33,M,HS,United States,YF,YM,0,1,3,3,1,1,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling0p,The wording and website links
77401042,35,M,BD,United States,YF,YF,0,1,3,3,1,0,phishingWriting75p,hamWriting75p,phishingStyling100p,hamStyling100p,Checking the link the sender the too goo to be true factor
929206466,26,M,HS,United States,YM,A,0,1,3,3,1,1,phishingWriting75p,hamWriting50p,phishingStyling75p,hamStyling75p,I mostly checked the links that were included the emails to verify if it was a phishing attempt or not
674569594,42,M,BD,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,I checked the sender domain links message tone etc  I also strongly disagreed with most of the ones I was marked incorrect on  Even the AI told me I should have been more suspicious when it was listed as not a phishing attempt
101057109,30,M,HS,United States,YM,YM,0,1,3,3,2,1,phishingWriting75p,hamWriting25p,phishingStyling50p,hamStyling50p,I tried to focus on any misspellings and senders that did not match their signature Also if the senders address did not match the link address If there was any urgency to the message I was much more cautious
949130641,49,M,HS,United States,YM,YF,0,1,3,3,1,2,phishingWriting25p,hamWriting50p,phishingStyling25p,hamStyling50p,Usually the link addresses but the wording is also a big giveaway
505843291,33,M,BD,United States,YM,YM,0,1,3,3,1,3,phishingWriting75p,hamWriting25p,phishingStyling25p,hamStyling50p,Suspicious sender address Check the senders address carefully and make sure its really coming from who it says its coming fromSpoofed web links Spelling grammar and layout Suspicious attachments Threats or a false sense of urge
604024172,26,M,BD,United States,YM,YF,0,1,3,3,2,1,phishingWriting25p,hamWriting50p,phishingStyling75p,hamStyling50p,links sender and the language of the email
176623233,56,F,MD,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting50p,phishingStyling50p,hamStyling50p,Looking at the subject email checking language and hovering over the links helped me to identify the phishing emails
493796011,38,M,BD,United States,YM,A,0,1,3,3,3,1,phishingWriting50p,hamWriting75p,phishingStyling25p,hamStyling75p,I primarily checked for validity of the sender then for matching secure links in the body Lastly I considered the urgency of the language in the email 
165531261,35,M,BD,United States,,YF,0,0,1,1,1,2,phishingWriting50p,hamWriting50p,phishingStyling75p,hamStyling50p,Through they asking link and password
564098568,39,F,MD,United States,YF,YF,0,1,3,1,1,1,phishingWriting100p,hamWriting75p,phishingStyling75p,hamStyling100p,the characteristics that i learn when star the task
36851753,39,F,MD,United States,A,YM,0,1,2,0,2,0,phishingWriting100p,hamWriting75p,phishingStyling50p,hamStyling50p,I think my own criteria related to email
644292643,21,M,BD,United States,YM,YM,0,1,3,3,1,3,phishingWriting25p,hamWriting50p,phishingStyling25p,hamStyling50p,I used the predefined criteria provided in the study and my spider sense
43625409,54,F,BD,United States,YM,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting25p,phishingStyling100p,hamStyling25p,I checked the links to see if they were not going where they claimed I checked the sender address to see if it matched and looked for suspicious elements like offers of discounts or winning something I also looked for urgency act now
912810703,70,M,BD,United States,YM,YM,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling100p,hamStyling100p,Through the methods indicated in the instructions in this study but also through my intuition
554405125,29,M,BD,United States,YM,YM,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I would check the email address first then the subject then the link and finally the text
401874856,32,M,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting75p,phishingStyling75p,hamStyling75p,Link Does Not Match the Text Urgent Tone offers Email Requests Credentials
471592711,59,F,HS,United States,YM,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,email address Urgency headline
530027173,31,M,BD,United States,YM,YF,0,1,3,0,1,3,phishingWriting25p,hamWriting25p,phishingStyling25p,hamStyling25p,Checking the messages the emailsa and urgency
173935473,62,F,BD,United States,YM,YF,0,1,3,3,1,1,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,check addresses and links and assessed degree of urgency etc  my usual checks
651797093,63,M,MD,United States,YM,YM,0,1,3,0,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,I used the criteria you provided at the beginning of the study
255121131,45,M,MD,United States,YF,YF,0,1,3,3,2,1,phishingWriting75p,hamWriting50p,phishingStyling50p,hamStyling50p,I checked links and wording mainly
425655004,39,M,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I tried to verify the links and emails as best I could
277826298,56,M,HS,United States,YM,YF,1,1,3,0,1,3,phishingWriting75p,hamWriting25p,phishingStyling25p,hamStyling25p,I looked at spelling links and information they wanted
226836687,46,M,BD,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling100p,hamStyling100p,I used URLs the mostSometimes it was clear that they werent legitimate or werent related to the entity purportedly sending the email  I also looked at whether the email address seemed valid I also looked at what information was being asked for
572908035,38,F,HS,United States,A,YF,0,1,0,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Check the address and if it seemed suspicious
45547484,47,F,HS,United States,YM,YF,0,1,3,3,1,1,phishingWriting100p,hamWriting75p,phishingStyling100p,hamStyling50p,It was a little tricky due to lack of context It would have been nice to have a scenario becuase if in real life if Im receiving those emails out of the blue then I would consider ALL phishing 
935144285,40,F,BD,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I checked the links and the tonephrasing used in the emails I also looked at the sender and the links to see if the domains were consistent
84775249,52,F,MD,United States,YF,YF,0,1,3,0,2,3,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling25p,I checked the sender address spelling compared it to the link and if it didnt match or make sense I thought it was phishing The language used if urgent made me feel the emails were suspicious 
533488351,69,M,HS,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting25p,phishingStyling50p,hamStyling50p,mostly the URL and then the language and subject
485595598,39,F,HS,United States,YM,YM,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,I looked at the link to see where it went 
960909968,41,F,BD,United States,YF,YF,0,1,3,0,1,2,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling50p,I always checked the link first hovering over the link to reveal the address and make sure it is valid with the business or website Check the credentials of the sender is this an email we were expecting or has it arrived to us unsolicited
525187845,57,F,HS,United States,YM,A,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling100p,hamStyling100p,I would always check the email and the link If the link was suspicious or the email was suspicious I would mark it as such
300135759,56,F,BD,United States,YF,YM,0,1,3,3,1,1,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,I used the criteria that was provided to me at the beginning of the study
411944250,48,M,HS,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,the most obvious were the ones with faulty names and obviously bad links There were a few that had me confused because i would know if I applied for a job or not Some were just hard because I would have known if I had taken some action to get the 
731656458,49,M,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling75p,hamStyling50p,looking at the senders address and the links
218783199,54,F,HS,United States,YF,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling25p,hamStyling25p,I followed the instructions from the beginning  first and most importantly examining the email address and links and judging whether they seemed to be legitimate domains for the supposed sender then examining the text for indicators of phishing
601367890,41,M,HS,United States,YF,YF,0,1,3,2,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,The link the tone the request the urgency
308760103,30,M,HS,United States,YM,YF,0,1,0,3,2,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,Urgent language Mismatched links
265702118,53,F,HS,United States,YF,YF,0,1,3,1,1,3,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling50p,I looked at the link information to see if the address looked real I looked at urgency as well and for spelling mistakes
980519332,24,M,HS,United States,YF,YF,0,1,3,0,1,1,phishingWriting25p,hamWriting50p,phishingStyling75p,hamStyling50p,I would pay close attention to the links that were provided and see if they seemed legitimate or had any weird spellings in them I also looked at the consistency of the emails to see if the sender and the company in the actual were the same
741566831,36,M,BD,United States,YM,YF,0,1,3,3,1,2,phishingWriting75p,hamWriting50p,phishingStyling75p,hamStyling75p,I focused closest on the links to see if they led to legitimate websites I also closely read the context of the email to see if it made sense and was believable while also looking for any spelling or grammar mistakes
6063790,33,M,HS,United States,YF,YF,0,1,3,2,1,1,phishingWriting75p,hamWriting50p,phishingStyling25p,hamStyling25p,any link in the email i was suspicious about until i verified they where legitimate
690039830,42,F,MD,United States,A,YF,1,1,1,1,1,0,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,Nothing
835355668,55,F,PD,United States,YF,YF,0,1,3,3,3,1,phishingWriting25p,hamWriting0p,phishingStyling25p,hamStyling0p,I checked the sender domain names and the links to identify whether the email was a phishing attempt Thank you and have a nice day
768113614,39,F,HS,United States,YM,YF,0,1,3,3,3,1,phishingWriting75p,hamWriting50p,phishingStyling100p,hamStyling75p,I checked the email address and then I focused strongly on the link that was provided in the email body I also focused on what type of information the send was trying to receive
560031340,26,F,BD,United States,A,YM,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,suspicious link urgent language unwanted discount
131788338,41,M,BD,United States,YF,YM,0,1,3,3,1,3,phishingWriting100p,hamWriting100p,phishingStyling75p,hamStyling75p,Generic information and payment request  
741943043,36,F,BD,United States,YF,YF,0,1,3,3,2,1,phishingWriting50p,hamWriting50p,phishingStyling25p,hamStyling25p,URLs email addresses urgency
970031386,39,M,BD,United States,YF,YM,0,1,3,3,3,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,I looked for domain name mismatches in the sender and links mostly along with urgency and sensitive info requests
229371462,33,M,BD,United States,YM,YF,0,1,3,3,1,3,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,reading the email and checking the links and what the email was communicating based on provided information on spotting phishing attempts in the survey
954285263,45,M,BD,United States,YF,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting25p,phishingStyling75p,hamStyling50p,I tried to match the sender and any links contained in the email
570591155,36,M,HS,United States,YF,YF,0,1,3,0,3,1,phishingWriting75p,hamWriting25p,phishingStyling25p,hamStyling25p,I used the general context of the email as a first step to judge the email After that I checked the links for any misspellings or inconsistencies Finally the information in the actual message and try to decipher if it sounds legitimate or  not
215323847,50,F,BD,United States,YM,YM,0,1,3,1,3,1,phishingWriting25p,hamWriting25p,phishingStyling50p,hamStyling50p,I looked at the sender the links the subject line the tone and the offers I took all these things into consideration and made a decision if it was a phishing attempt or not 
514392082,40,F,HS,United States,YM,YM,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling25p,hamStyling75p,Mostly the links that I hovered over to see if they matched I also looked for typos overly positive emails like winning a lottery or inheritance emails and just basically things that dont look or sound right
72826998,32,F,BD,United States,YM,YM,0,1,3,3,1,1,phishingWriting50p,hamWriting25p,phishingStyling0p,hamStyling0p,I basically had to check the fluency and accuracy of the English being used check the link if it relates with either the sender or the firms name
607808910,31,F,BD,United States,YF,YF,0,1,0,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling50p,hamStyling50p,Matching what would be an appropriate email to sourcecompany Urgency tone of voice and misspelling in body text or even subject and email If it would be common for a company to generally send an email like shown or not
459636982,32,F,BD,United States,YF,YM,0,1,3,0,1,1,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,I looked at the sender and link most
541322773,39,M,HS,United States,YF,YM,1,1,0,1,2,0,phishingWriting50p,hamWriting75p,phishingStyling25p,hamStyling25p,I would check the senders emails Id look for too many  in the email address I also looked to see if the email address matched the content of whats inside the email itself I also looked for incorrect word statements and suspicious links
17006026,28,F,BD,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting25p,phishingStyling25p,hamStyling25p,I hovered over a lot of URLs to determine this and also started to pay attention to the sender email 
658804142,32,M,HS,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I looked at sender email addresses domain names for links and the contents of the emails themselves I also looked at any businesses that I recognized and rated accordingly
756884009,40,M,BD,United States,YF,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,checking the link suspicious subject suspicious greeting
259718298,61,F,BD,United States,YF,YF,0,1,3,2,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,If the link itself is correct if the email is trying to ask for money if the email is trying to have a lot of urgency as well if the email doesnt seem right
96305692,43,F,BD,United States,YF,YF,0,1,3,2,3,0,phishingWriting50p,hamWriting25p,phishingStyling50p,hamStyling25p,Sender email subject line sense of urgency suspicious links
127646412,40,F,BD,United States,YM,YF,0,1,3,3,3,1,phishingWriting100p,hamWriting100p,phishingStyling100p,hamStyling100p,I looked at the senders and the links mostly
134708886,43,F,BD,United States,YM,YF,0,1,3,3,1,1,phishingWriting75p,hamWriting50p,phishingStyling75p,hamStyling50p,The link didnt match the sender the urgent tone asking for immediate response a prize or giving away money 
45271045,53,M,HS,United States,YM,YM,0,1,3,3,3,1,phishingWriting25p,hamWriting25p,phishingStyling50p,hamStyling75p,I looked for strange email addresses and I looked for mismatched email domains against the urls given I looked for errors in grammer and spelling as well as fantastic language I tried to be mindful of the language used in the body of each email
154189571,51,F,HS,United States,YF,YF,0,1,3,3,2,3,phishingWriting75p,hamWriting50p,phishingStyling75p,hamStyling50p,If the email seemed urgent or threatening and had obvious spelling errors then it was more likely to be phishing Some were more subtle and even if there were links that seemed mismatched it could still be a legitimate email 
968834539,35,M,BD,United States,YM,A,0,1,3,0,0,1,phishingWriting50p,hamWriting25p,phishingStyling50p,hamStyling25p,I thought about the different things I was told to look for like strange email addresses links that go where they shouldnt creating a sense of urgency etc
826162004,47,F,HS,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling25p,hamStyling25p,I mostly relied on seeing where the links actually went this was more difficult than I thought it would be I also used urgent language as a tip off
811310043,47,F,BD,United States,YM,YF,0,1,3,3,3,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,I looked at the subject the email the content of the message
556587322,31,M,BD,United States,YM,YM,0,1,3,2,1,1,phishingWriting75p,hamWriting50p,phishingStyling50p,hamStyling25p,the spelling the senders link the senders email the senders wesbite
315130990,30,F,BD,United States,YM,YF,0,1,0,3,3,1,phishingWriting75p,hamWriting25p,phishingStyling75p,hamStyling50p,The links and the email addresses
618337979,32,M,BD,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling75p,hamStyling50p,I looked at clues such as sender and hyperlinks mostly to help identify phishing attempts
416263271,35,F,MD,United States,YF,YF,1,0,0,0,1,2,phishingWriting100p,hamWriting100p,phishingStyling75p,hamStyling100p,no
865675472,41,F,BD,United States,YM,YM,0,1,3,3,1,1,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Checking the sender email the content and links
319536651,45,M,MD,United States,YM,YF,0,1,3,3,1,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,My main criteria are the sender address and the target URLs in the message body Urgency was somewhat useful but I still dont understand why it was legitimate to be directed to a URL that appeared to be opening an unknown file on Google Drive
623998749,48,F,BD,United States,YM,YM,0,1,3,1,3,1,phishingWriting100p,hamWriting50p,phishingStyling100p,hamStyling50p,Spelling whether it included links whether email and link matched sender name and whether relative named themselves
922726292,33,M,HS,United States,YF,YF,0,1,3,1,1,0,phishingWriting50p,hamWriting75p,phishingStyling50p,hamStyling50p,That it had urgent messages and monetary information as well as the titles being off a bit 
276496397,33,F,BD,United States,YF,YM,0,1,3,0,1,1,phishingWriting25p,hamWriting0p,phishingStyling25p,hamStyling25p,Mostly the address of the link if they dont look legitimate and sometimes the wording of the email if its scaring you to change something
995896166,48,M,MD,United States,YM,YF,0,1,3,0,2,1,phishingWriting50p,hamWriting50p,phishingStyling50p,hamStyling50p,the languageincorrect linksobvious phishing topics account lockout lottery stranded relative etc
571943272,39,M,BD,United States,YM,YF,0,1,3,3,3,3,phishingWriting75p,hamWriting50p,phishingStyling100p,hamStyling25p,I looked at the senders email to see if it matched the contents of the email I looked at the URLs to see if they seemed proper and I looked at the title of the emails to see if they seemed suspicious as well
506324430,37,M,HS,United States,YF,YF,0,1,3,0,2,1,phishingWriting50p,hamWriting75p,phishingStyling75p,hamStyling75p,I always checked the sender first followed by any URLs that are listed If they didnt line up I thought they were phishing
703448749,35,F,MD,United States,YF,YF,0,1,3,3,3,0,phishingWriting75p,hamWriting75p,phishingStyling75p,hamStyling75p,Anything government related is phishing The government uses the mail Context like did I signin from a different devicelocationetc Email address I treat emails much like I treat phone calls 
